NumeroControl,NombreCompleto,Promedio
2117v2127,Flor  Bautista,47
2117v2128,Pedro  Ontiveros,59
2117v2129,Flor  Hernandez,8
2117v2130,Pedro  Santos,17
2117v2131,Juan  Hernandez,67
2117v2132,Abelardo  Martinez,91
2117v2133,Emilio  Hernandez,41
2117v2134,Laura Mede ,22
2117v2135,Emilio  Santos,51
2117v2136,Emilio  Vite,47
2117v2137,Said  Ontiveros,50
2117v2138,Flor  Sanchez,40
2117v2139,Maria Mede ,32
2117v2140,Ali  Bautista,48
2117v2141,Abelardo  Santos,1
2117v2142,Abelardo  Bautista,36
2117v2143,Flor  de la cuz ,6
2117v2144,Maria Matias,43
2117v2145,Juan  de la cuz ,85
2117v2146,Said  Vite,74
2117v2147,Laura Martinez,34
2117v2148,Uriel Santos,86
2117v2149,Pedro  Hernandez,12
2117v2150,Abelardo  Ontiveros,13
2117v2151,Uriel Matias,76
2117v2152,Abelardo  Ontiveros,3
2117v2153,Emilio  Mede ,89
2117v2154,Flor  Vite,56
2117v2155,Uriel Mede ,33
2117v2156,Laura Mede ,1
2117v2157,Abelardo  Martinez,38
2117v2158,Juan  Martinez,78
2117v2159,Uriel Martinez,26
2117v2160,Maria Ontiveros,84
2117v2161,Abelardo  Santos,72
2117v2162,Uriel Sanchez,51
2117v2163,Abelardo  Hernandez,12
2117v2164,Abelardo  Vite,32
2117v2165,Abelardo  Bautista,6
2117v2166,Said  Matias,44
2117v2167,Ali  Hernandez,55
2117v2168,Emilio  Vite,24
2117v2169,Abelardo  Matias,89
2117v2170,Ali  Hernandez,32
2117v2171,Said  Mede ,19
2117v2172,Maria Santos,3
2117v2173,Maria Ontiveros,47
2117v2174,Uriel Hernandez,56
2117v2175,Maria Martinez,9
2117v2176,Juan  Bautista,40
2117v2177,Juan  Mede ,35
2117v2178,Said  Santos,9
2117v2179,Uriel Vite,5
2117v2180,Laura Martinez,87
2117v2181,Emilio  Hernandez,51
2117v2182,Pedro  Ontiveros,41
2117v2183,Flor  Santos,51
2117v2184,Ali  Sanchez,37
2117v2185,Pedro  Santos,54
2117v2186,Uriel Matias,42
2117v2187,Juan  de la cuz ,95
2117v2188,Emilio  Martinez,35
2117v2189,Said  Santos,16
2117v2190,Ali  Ontiveros,12
2117v2191,Maria Santos,97
2117v2192,Uriel Matias,3
2117v2193,Abelardo  Matias,16
2117v2194,Flor  Vite,31
2117v2195,Maria Matias,70
2117v2196,Pedro  Bautista,10
2117v2197,Abelardo  Mede ,32
2117v2198,Said  Sanchez,38
2117v2199,Juan  de la cuz ,24
2117v2200,Said  Bautista,74
2117v2201,Maria Martinez,91
2117v2202,Maria Ontiveros,95
2117v2203,Juan  Santos,58
2117v2204,Maria Sanchez,4
2117v2205,Said  Vite,24
2117v2206,Said  Sanchez,50
2117v2207,Said  Mede ,13
2117v2208,Pedro  Matias,81
2117v2209,Abelardo  Bautista,21
2117v2210,Maria Sanchez,18
2117v2211,Emilio  Martinez,35
2117v2212,Emilio  Sanchez,63
2117v2213,Laura Vite,95
2117v2214,Pedro  Santos,79
2117v2215,Maria Vite,19
2117v2216,Pedro  Martinez,10
2117v2217,Juan  Hernandez,71
2117v2218,Pedro  Bautista,80
2117v2219,Said  Bautista,90
2117v2220,Laura de la cuz ,27
2117v2221,Flor  de la cuz ,52
2117v2222,Laura Sanchez,32
2117v2223,Said  Martinez,68
2117v2224,Maria Hernandez,22
2117v2225,Juan  Ontiveros,18
2117v2226,Ali  Sanchez,33
2117v2227,Laura Martinez,40
2117v2228,Juan  Santos,75
2117v2229,Pedro  Hernandez,52
2117v2230,Emilio  Bautista,5
2117v2231,Ali  de la cuz ,73
2117v2232,Said  Hernandez,51
2117v2233,Maria Sanchez,8
2117v2234,Juan  Martinez,76
2117v2235,Uriel Santos,6
2117v2236,Ali  de la cuz ,96
2117v2237,Uriel Matias,70
2117v2238,Uriel Martinez,6
2117v2239,Pedro  Martinez,67
2117v2240,Juan  Vite,63
2117v2241,Laura Bautista,26
2117v2242,Uriel Hernandez,99
2117v2243,Emilio  Sanchez,86
2117v2244,Abelardo  Hernandez,22
2117v2245,Pedro  Hernandez,77
2117v2246,Flor  de la cuz ,67
2117v2247,Said  de la cuz ,25
2117v2248,Flor  Vite,71
2117v2249,Emilio  Matias,46
2117v2250,Abelardo  Mede ,42
2117v2251,Said  Martinez,82
2117v2252,Emilio  Hernandez,44
2117v2253,Said  Ontiveros,82
2117v2254,Said  Hernandez,13
2117v2255,Uriel Vite,56
2117v2256,Emilio  Vite,27
2117v2257,Maria Vite,70
2117v2258,Abelardo  Ontiveros,55
2117v2259,Laura Ontiveros,81
2117v2260,Ali  Santos,67
2117v2261,Emilio  Martinez,52
2117v2262,Maria Santos,27
2117v2263,Flor  Hernandez,12
2117v2264,Maria Mede ,24
2117v2265,Maria Matias,44
2117v2266,Uriel Mede ,11
2117v2267,Laura Ontiveros,34
2117v2268,Juan  Santos,36
2117v2269,Pedro  Santos,87
2117v2270,Laura de la cuz ,41
2117v2271,Said  Mede ,7
2117v2272,Juan  Matias,77
2117v2273,Maria de la cuz ,65
2117v2274,Abelardo  Bautista,100
2117v2275,Emilio  Vite,40
2117v2276,Uriel Mede ,30
2117v2277,Ali  Hernandez,30
2117v2278,Maria Hernandez,52
2117v2279,Emilio  de la cuz ,90
2117v2280,Laura Hernandez,26
2117v2281,Pedro  de la cuz ,34
2117v2282,Pedro  Hernandez,29
2117v2283,Pedro  Hernandez,4
2117v2284,Emilio  Matias,44
2117v2285,Abelardo  Martinez,96
2117v2286,Emilio  Bautista,54
2117v2287,Laura Ontiveros,96
2117v2288,Uriel Martinez,46
2117v2289,Flor  Hernandez,36
2117v2290,Said  Martinez,85
2117v2291,Abelardo  Vite,39
2117v2292,Ali  de la cuz ,25
2117v2293,Pedro  Vite,71
2117v2294,Pedro  Martinez,60
2117v2295,Ali  Mede ,9
2117v2296,Maria Hernandez,78
2117v2297,Flor  Santos,21
2117v2298,Pedro  Hernandez,78
2117v2299,Maria Mede ,36
2117v2300,Flor  Sanchez,40
2117v2301,Ali  Ontiveros,33
2117v2302,Flor  Matias,70
2117v2303,Pedro  Santos,39
2117v2304,Emilio  Bautista,88
2117v2305,Maria Bautista,48
2117v2306,Said  Bautista,84
2117v2307,Abelardo  Ontiveros,88
2117v2308,Flor  Hernandez,27
2117v2309,Emilio  de la cuz ,92
2117v2310,Emilio  Sanchez,51
2117v2311,Laura Martinez,98
2117v2312,Abelardo  Santos,14
2117v2313,Pedro  Martinez,14
2117v2314,Uriel Vite,12
2117v2315,Maria Matias,31
2117v2316,Abelardo  Santos,59
2117v2317,Laura Sanchez,52
2117v2318,Pedro  Hernandez,76
2117v2319,Flor  de la cuz ,2
2117v2320,Uriel Matias,76
2117v2321,Ali  Matias,2
2117v2322,Laura Vite,54
2117v2323,Juan  Hernandez,21
2117v2324,Ali  Hernandez,68
2117v2325,Emilio  Bautista,75
2117v2326,Laura Bautista,43
2117v2327,Maria Ontiveros,30
2117v2328,Abelardo  de la cuz ,64
2117v2329,Pedro  Bautista,73
2117v2330,Pedro  Santos,100
2117v2331,Said  de la cuz ,20
2117v2332,Abelardo  Ontiveros,66
2117v2333,Pedro  Bautista,40
2117v2334,Uriel de la cuz ,95
2117v2335,Laura Bautista,46
2117v2336,Said  Santos,80
2117v2337,Ali  Sanchez,86
2117v2338,Maria Martinez,61
2117v2339,Pedro  de la cuz ,51
2117v2340,Maria Santos,77
2117v2341,Emilio  Bautista,43
2117v2342,Abelardo  Ontiveros,50
2117v2343,Laura Santos,100
2117v2344,Said  Matias,15
2117v2345,Maria Sanchez,44
2117v2346,Pedro  Santos,57
2117v2347,Maria Hernandez,6
2117v2348,Emilio  Martinez,66
2117v2349,Flor  Matias,58
2117v2350,Ali  Mede ,59
2117v2351,Uriel Matias,4
2117v2352,Maria Santos,41
2117v2353,Abelardo  Matias,94
2117v2354,Emilio  Matias,54
2117v2355,Maria Vite,11
2117v2356,Ali  Martinez,11
2117v2357,Abelardo  Sanchez,68
2117v2358,Laura Matias,62
2117v2359,Emilio  de la cuz ,24
2117v2360,Pedro  Ontiveros,59
2117v2361,Ali  de la cuz ,76
2117v2362,Pedro  Sanchez,36
2117v2363,Ali  Martinez,72
2117v2364,Juan  Martinez,12
2117v2365,Uriel Mede ,98
2117v2366,Pedro  Santos,55
2117v2367,Emilio  Vite,72
2117v2368,Ali  Matias,57
2117v2369,Laura Santos,46
2117v2370,Flor  Bautista,100
2117v2371,Emilio  Santos,8
2117v2372,Ali  Ontiveros,79
2117v2373,Said  Mede ,86
2117v2374,Pedro  Sanchez,50
2117v2375,Uriel Ontiveros,93
2117v2376,Uriel Santos,17
2117v2377,Abelardo  Matias,64
2117v2378,Pedro  Bautista,98
2117v2379,Uriel Bautista,52
2117v2380,Abelardo  Vite,34
2117v2381,Maria Hernandez,2
2117v2382,Emilio  Mede ,85
2117v2383,Uriel Sanchez,29
2117v2384,Abelardo  Matias,97
2117v2385,Ali  Ontiveros,37
2117v2386,Ali  Ontiveros,62
2117v2387,Abelardo  Ontiveros,91
2117v2388,Emilio  Sanchez,18
2117v2389,Said  Vite,42
2117v2390,Uriel Mede ,13
2117v2391,Said  Santos,65
2117v2392,Pedro  de la cuz ,89
2117v2393,Juan  Matias,30
2117v2394,Laura Vite,69
2117v2395,Laura Santos,35
2117v2396,Flor  Bautista,97
2117v2397,Juan  Mede ,73
2117v2398,Laura Santos,84
2117v2399,Flor  Santos,67
2117v2400,Flor  Mede ,16
2117v2401,Maria Mede ,75
2117v2402,Maria Santos,68
2117v2403,Laura Bautista,24
2117v2404,Emilio  Matias,71
2117v2405,Maria Sanchez,6
2117v2406,Emilio  Hernandez,78
2117v2407,Maria Vite,11
2117v2408,Ali  Hernandez,66
2117v2409,Uriel Sanchez,64
2117v2410,Maria de la cuz ,75
2117v2411,Abelardo  Santos,58
2117v2412,Ali  Vite,79
2117v2413,Flor  Hernandez,91
2117v2414,Abelardo  Santos,79
2117v2415,Emilio  Santos,85
2117v2416,Laura Mede ,42
2117v2417,Abelardo  Santos,18
2117v2418,Abelardo  Hernandez,19
2117v2419,Said  Sanchez,93
2117v2420,Maria Matias,41
2117v2421,Flor  Martinez,71
2117v2422,Emilio  de la cuz ,14
2117v2423,Emilio  Santos,80
2117v2424,Laura de la cuz ,62
2117v2425,Flor  Bautista,19
2117v2426,Pedro  Santos,74
2117v2427,Juan  Bautista,54
2117v2428,Abelardo  Matias,26
2117v2429,Abelardo  Ontiveros,95
2117v2430,Maria Mede ,81
2117v2431,Flor  Ontiveros,14
2117v2432,Abelardo  de la cuz ,50
2117v2433,Flor  de la cuz ,90
2117v2434,Laura Santos,56
2117v2435,Said  Santos,19
2117v2436,Juan  Mede ,30
2117v2437,Juan  Bautista,95
2117v2438,Maria Sanchez,92
2117v2439,Flor  Mede ,37
2117v2440,Flor  Bautista,39
2117v2441,Uriel Vite,46
2117v2442,Juan  Vite,18
2117v2443,Laura Vite,2
2117v2444,Juan  Matias,75
2117v2445,Juan  de la cuz ,32
2117v2446,Laura Ontiveros,79
2117v2447,Said  Bautista,97
2117v2448,Pedro  Martinez,94
2117v2449,Pedro  Hernandez,45
2117v2450,Ali  de la cuz ,37
2117v2451,Said  Matias,31
2117v2452,Flor  Ontiveros,7
2117v2453,Emilio  Bautista,54
2117v2454,Said  de la cuz ,5
2117v2455,Pedro  Matias,41
2117v2456,Abelardo  Mede ,41
2117v2457,Maria Sanchez,96
2117v2458,Flor  Santos,66
2117v2459,Pedro  Ontiveros,93
2117v2460,Juan  Vite,33
2117v2461,Ali  Hernandez,54
2117v2462,Abelardo  Mede ,54
2117v2463,Abelardo  Santos,82
2117v2464,Juan  Martinez,7
2117v2465,Juan  Hernandez,46
2117v2466,Abelardo  Mede ,40
2117v2467,Maria de la cuz ,21
2117v2468,Pedro  Mede ,2
2117v2469,Ali  Santos,15
2117v2470,Flor  Matias,36
2117v2471,Flor  Ontiveros,46
2117v2472,Emilio  Vite,39
2117v2473,Emilio  Vite,32
2117v2474,Flor  Bautista,20
2117v2475,Emilio  Mede ,7
2117v2476,Flor  Ontiveros,7
2117v2477,Ali  Bautista,78
2117v2478,Juan  de la cuz ,95
2117v2479,Ali  de la cuz ,58
2117v2480,Said  de la cuz ,3
2117v2481,Juan  Martinez,44
2117v2482,Laura Ontiveros,89
2117v2483,Emilio  Santos,51
2117v2484,Uriel Mede ,78
2117v2485,Ali  Hernandez,57
2117v2486,Maria Bautista,93
2117v2487,Flor  Vite,51
2117v2488,Juan  Ontiveros,7
2117v2489,Flor  Martinez,10
2117v2490,Maria Santos,66
2117v2491,Said  Bautista,23
2117v2492,Laura Sanchez,75
2117v2493,Maria Vite,2
2117v2494,Juan  Mede ,52
2117v2495,Uriel Ontiveros,88
2117v2496,Maria Martinez,93
2117v2497,Said  Bautista,32
2117v2498,Ali  Mede ,70
2117v2499,Juan  Vite,53
2117v2500,Pedro  Vite,76
2117v2501,Laura de la cuz ,55
2117v2502,Abelardo  Matias,23
2117v2503,Abelardo  Ontiveros,81
2117v2504,Said  Mede ,72
2117v2505,Emilio  Santos,56
2117v2506,Maria Bautista,88
2117v2507,Emilio  Sanchez,70
2117v2508,Laura Hernandez,22
2117v2509,Juan  Hernandez,76
2117v2510,Said  Bautista,54
2117v2511,Juan  Hernandez,67
2117v2512,Abelardo  Matias,49
2117v2513,Emilio  Ontiveros,39
2117v2514,Laura Matias,66
2117v2515,Flor  Martinez,62
2117v2516,Uriel Santos,2
2117v2517,Laura Vite,80
2117v2518,Uriel Sanchez,59
2117v2519,Emilio  Ontiveros,60
2117v2520,Juan  Sanchez,49
2117v2521,Said  Matias,74
2117v2522,Laura de la cuz ,71
2117v2523,Maria Sanchez,22
2117v2524,Maria Ontiveros,37
2117v2525,Ali  Santos,94
2117v2526,Pedro  Sanchez,42
2117v2527,Abelardo  Mede ,43
2117v2528,Flor  Santos,59
2117v2529,Abelardo  Vite,49
2117v2530,Abelardo  Ontiveros,93
2117v2531,Said  Hernandez,85
2117v2532,Abelardo  Ontiveros,9
2117v2533,Said  Matias,96
2117v2534,Said  Matias,62
2117v2535,Juan  Santos,19
2117v2536,Flor  Ontiveros,40
2117v2537,Maria Sanchez,79
2117v2538,Uriel Sanchez,36
2117v2539,Laura de la cuz ,13
2117v2540,Flor  Matias,28
2117v2541,Laura Vite,2
2117v2542,Maria Martinez,95
2117v2543,Flor  de la cuz ,29
2117v2544,Emilio  Matias,41
2117v2545,Said  Mede ,34
2117v2546,Abelardo  Sanchez,95
2117v2547,Uriel Martinez,53
2117v2548,Emilio  Vite,53
2117v2549,Ali  de la cuz ,91
2117v2550,Laura Mede ,62
2117v2551,Ali  Hernandez,13
2117v2552,Juan  Sanchez,43
2117v2553,Ali  Vite,29
2117v2554,Flor  Martinez,44
2117v2555,Maria Matias,72
2117v2556,Emilio  Ontiveros,11
2117v2557,Juan  Mede ,74
2117v2558,Flor  Martinez,80
2117v2559,Said  de la cuz ,67
2117v2560,Uriel Ontiveros,14
2117v2561,Abelardo  Santos,80
2117v2562,Emilio  Martinez,61
2117v2563,Laura Hernandez,45
2117v2564,Maria Bautista,87
2117v2565,Pedro  de la cuz ,90
2117v2566,Flor  Santos,64
2117v2567,Juan  Martinez,23
2117v2568,Emilio  Bautista,96
2117v2569,Juan  Hernandez,18
2117v2570,Ali  Ontiveros,38
2117v2571,Ali  Ontiveros,90
2117v2572,Laura Mede ,34
2117v2573,Juan  Mede ,57
2117v2574,Juan  Ontiveros,39
2117v2575,Uriel Matias,62
2117v2576,Uriel Martinez,42
2117v2577,Laura Matias,99
2117v2578,Emilio  de la cuz ,16
2117v2579,Said  Sanchez,88
2117v2580,Maria Matias,14
2117v2581,Maria de la cuz ,35
2117v2582,Ali  Bautista,68
2117v2583,Uriel Hernandez,64
2117v2584,Emilio  Matias,10
2117v2585,Emilio  Ontiveros,93
2117v2586,Ali  Santos,56
2117v2587,Pedro  Bautista,20
2117v2588,Maria Vite,35
2117v2589,Ali  Hernandez,49
2117v2590,Maria Matias,89
2117v2591,Maria Martinez,94
2117v2592,Abelardo  Vite,33
2117v2593,Juan  Vite,33
2117v2594,Maria Matias,94
2117v2595,Emilio  Mede ,46
2117v2596,Ali  Bautista,89
2117v2597,Juan  Mede ,68
2117v2598,Pedro  Matias,47
2117v2599,Uriel Hernandez,99
2117v2600,Laura Matias,44
2117v2601,Maria Hernandez,11
2117v2602,Ali  Matias,100
2117v2603,Juan  Vite,96
2117v2604,Flor  Ontiveros,73
2117v2605,Emilio  Mede ,35
2117v2606,Uriel de la cuz ,79
2117v2607,Pedro  Bautista,11
2117v2608,Juan  Mede ,30
2117v2609,Flor  Mede ,83
2117v2610,Maria de la cuz ,74
2117v2611,Emilio  Bautista,20
2117v2612,Emilio  Martinez,87
2117v2613,Emilio  Mede ,65
2117v2614,Pedro  Mede ,93
2117v2615,Pedro  Santos,60
2117v2616,Uriel de la cuz ,99
2117v2617,Said  Santos,96
2117v2618,Pedro  Bautista,73
2117v2619,Ali  Santos,98
2117v2620,Ali  Mede ,33
2117v2621,Pedro  Ontiveros,9
2117v2622,Ali  Hernandez,47
2117v2623,Said  Ontiveros,15
2117v2624,Said  Sanchez,46
2117v2625,Laura Martinez,16
2117v2626,Said  Vite,19
2117v2627,Emilio  Hernandez,15
2117v2628,Ali  Hernandez,76
2117v2629,Maria Mede ,50
2117v2630,Pedro  Ontiveros,11
2117v2631,Emilio  de la cuz ,32
2117v2632,Uriel Ontiveros,48
2117v2633,Flor  Sanchez,21
2117v2634,Said  Martinez,64
2117v2635,Abelardo  Bautista,80
2117v2636,Flor  Martinez,11
2117v2637,Uriel Santos,91
2117v2638,Ali  Matias,26
2117v2639,Said  Vite,85
2117v2640,Ali  Vite,19
2117v2641,Ali  Hernandez,24
2117v2642,Ali  de la cuz ,88
2117v2643,Ali  Ontiveros,3
2117v2644,Uriel Santos,79
2117v2645,Laura de la cuz ,52
2117v2646,Maria Santos,72
2117v2647,Abelardo  Sanchez,57
2117v2648,Maria Sanchez,60
2117v2649,Uriel Sanchez,92
2117v2650,Ali  Matias,74
2117v2651,Emilio  Santos,76
2117v2652,Abelardo  Matias,55
2117v2653,Ali  Vite,88
2117v2654,Maria Martinez,50
2117v2655,Juan  Martinez,11
2117v2656,Abelardo  Santos,79
2117v2657,Maria Mede ,86
2117v2658,Pedro  de la cuz ,94
2117v2659,Flor  Santos,16
2117v2660,Emilio  Vite,62
2117v2661,Maria Bautista,69
2117v2662,Said  Bautista,85
2117v2663,Ali  Vite,22
2117v2664,Said  Hernandez,78
2117v2665,Maria Ontiveros,91
2117v2666,Laura Hernandez,50
2117v2667,Laura Santos,59
2117v2668,Flor  Ontiveros,61
2117v2669,Said  Hernandez,77
2117v2670,Pedro  Bautista,76
2117v2671,Pedro  Hernandez,23
2117v2672,Pedro  Martinez,86
2117v2673,Juan  Vite,29
2117v2674,Uriel Ontiveros,9
2117v2675,Pedro  Mede ,48
2117v2676,Abelardo  Santos,1
2117v2677,Juan  Mede ,67
2117v2678,Said  Santos,15
2117v2679,Said  Vite,48
2117v2680,Laura de la cuz ,64
2117v2681,Maria Ontiveros,40
2117v2682,Ali  Bautista,96
2117v2683,Flor  Ontiveros,27
2117v2684,Said  Sanchez,77
2117v2685,Ali  Vite,18
2117v2686,Said  Hernandez,27
2117v2687,Said  Martinez,4
2117v2688,Pedro  Santos,6
2117v2689,Maria de la cuz ,89
2117v2690,Abelardo  Bautista,25
2117v2691,Juan  Mede ,9
2117v2692,Abelardo  de la cuz ,17
2117v2693,Flor  Sanchez,88
2117v2694,Laura Bautista,11
2117v2695,Ali  Mede ,27
2117v2696,Emilio  Matias,84
2117v2697,Maria Vite,40
2117v2698,Pedro  Martinez,28
2117v2699,Laura Hernandez,72
2117v2700,Ali  Martinez,15
2117v2701,Juan  Santos,64
2117v2702,Laura Vite,48
2117v2703,Ali  Hernandez,33
2117v2704,Emilio  de la cuz ,4
2117v2705,Laura Bautista,46
2117v2706,Ali  Bautista,84
2117v2707,Maria Martinez,65
2117v2708,Laura Santos,82
2117v2709,Ali  Sanchez,87
2117v2710,Said  Santos,67
2117v2711,Pedro  Hernandez,85
2117v2712,Said  Vite,96
2117v2713,Ali  Hernandez,59
2117v2714,Emilio  Matias,75
2117v2715,Maria Vite,4
2117v2716,Flor  Bautista,77
2117v2717,Ali  Mede ,68
2117v2718,Said  Mede ,13
2117v2719,Ali  Santos,28
2117v2720,Maria Vite,86
2117v2721,Uriel Martinez,18
2117v2722,Pedro  Martinez,93
2117v2723,Abelardo  Vite,95
2117v2724,Abelardo  Matias,86
2117v2725,Abelardo  Matias,61
2117v2726,Uriel Matias,20
2117v2727,Said  de la cuz ,95
2117v2728,Ali  Mede ,35
2117v2729,Laura Vite,46
2117v2730,Uriel Hernandez,41
2117v2731,Flor  Sanchez,71
2117v2732,Maria Mede ,96
2117v2733,Flor  Sanchez,62
2117v2734,Abelardo  Santos,94
2117v2735,Laura Mede ,27
2117v2736,Uriel de la cuz ,17
2117v2737,Ali  Hernandez,19
2117v2738,Ali  Ontiveros,27
2117v2739,Flor  Mede ,29
2117v2740,Uriel Santos,21
2117v2741,Said  Hernandez,86
2117v2742,Said  Ontiveros,89
2117v2743,Abelardo  Sanchez,11
2117v2744,Emilio  Bautista,21
2117v2745,Juan  Ontiveros,78
2117v2746,Pedro  Vite,13
2117v2747,Maria Vite,18
2117v2748,Emilio  Martinez,76
2117v2749,Maria Hernandez,94
2117v2750,Juan  Bautista,1
2117v2751,Pedro  Matias,2
2117v2752,Laura Martinez,89
2117v2753,Abelardo  Sanchez,76
2117v2754,Abelardo  Vite,64
2117v2755,Maria Matias,86
2117v2756,Uriel Vite,5
2117v2757,Uriel Bautista,64
2117v2758,Said  Mede ,46
2117v2759,Pedro  Santos,11
2117v2760,Pedro  Matias,43
2117v2761,Ali  Sanchez,58
2117v2762,Laura Mede ,8
2117v2763,Pedro  Martinez,84
2117v2764,Flor  Mede ,44
2117v2765,Uriel Martinez,62
2117v2766,Emilio  Mede ,47
2117v2767,Pedro  Vite,59
2117v2768,Maria Vite,14
2117v2769,Abelardo  Sanchez,18
2117v2770,Maria de la cuz ,4
2117v2771,Juan  Bautista,90
2117v2772,Said  Santos,32
2117v2773,Laura Ontiveros,28
2117v2774,Abelardo  Mede ,23
2117v2775,Abelardo  Martinez,44
2117v2776,Flor  Sanchez,30
2117v2777,Uriel Ontiveros,33
2117v2778,Flor  Sanchez,46
2117v2779,Said  Hernandez,51
2117v2780,Said  Mede ,93
2117v2781,Uriel Vite,33
2117v2782,Maria Hernandez,8
2117v2783,Pedro  Matias,35
2117v2784,Abelardo  Martinez,1
2117v2785,Juan  Santos,61
2117v2786,Ali  Matias,77
2117v2787,Said  Martinez,66
2117v2788,Emilio  Santos,54
2117v2789,Ali  Ontiveros,88
2117v2790,Uriel Mede ,6
2117v2791,Emilio  Vite,54
2117v2792,Ali  Vite,72
2117v2793,Uriel Sanchez,31
2117v2794,Uriel Santos,26
2117v2795,Emilio  Mede ,29
2117v2796,Uriel Santos,3
2117v2797,Juan  Martinez,55
2117v2798,Emilio  Mede ,84
2117v2799,Said  Sanchez,85
2117v2800,Ali  Vite,26
2117v2801,Pedro  Ontiveros,70
2117v2802,Abelardo  de la cuz ,86
2117v2803,Emilio  Sanchez,52
2117v2804,Maria Hernandez,87
2117v2805,Uriel Santos,94
2117v2806,Flor  Matias,58
2117v2807,Abelardo  Martinez,15
2117v2808,Ali  Martinez,26
2117v2809,Ali  Vite,26
2117v2810,Laura de la cuz ,53
2117v2811,Juan  Bautista,59
2117v2812,Said  Hernandez,79
2117v2813,Juan  Martinez,100
2117v2814,Abelardo  Hernandez,99
2117v2815,Laura Ontiveros,69
2117v2816,Maria Santos,2
2117v2817,Ali  Vite,24
2117v2818,Laura Hernandez,95
2117v2819,Juan  Martinez,98
2117v2820,Juan  Sanchez,29
2117v2821,Abelardo  de la cuz ,72
2117v2822,Abelardo  Hernandez,52
2117v2823,Abelardo  Matias,22
2117v2824,Said  Martinez,31
2117v2825,Abelardo  Sanchez,87
2117v2826,Flor  Martinez,15
2117v2827,Emilio  Mede ,45
2117v2828,Uriel Sanchez,36
2117v2829,Abelardo  de la cuz ,59
2117v2830,Juan  Matias,49
2117v2831,Abelardo  Bautista,22
2117v2832,Flor  Mede ,89
2117v2833,Said  Santos,91
2117v2834,Ali  Martinez,51
2117v2835,Abelardo  Hernandez,76
2117v2836,Maria Ontiveros,67
2117v2837,Maria Hernandez,7
2117v2838,Juan  de la cuz ,11
2117v2839,Pedro  Santos,89
2117v2840,Emilio  Bautista,32
2117v2841,Pedro  Ontiveros,73
2117v2842,Laura Martinez,87
2117v2843,Juan  Bautista,77
2117v2844,Uriel Vite,78
2117v2845,Pedro  Santos,63
2117v2846,Abelardo  Santos,5
2117v2847,Laura Matias,53
2117v2848,Abelardo  de la cuz ,28
2117v2849,Flor  Vite,89
2117v2850,Maria Mede ,23
2117v2851,Uriel Sanchez,85
2117v2852,Laura Hernandez,15
2117v2853,Juan  Matias,5
2117v2854,Maria Vite,77
2117v2855,Pedro  Hernandez,82
2117v2856,Emilio  Mede ,7
2117v2857,Ali  de la cuz ,38
2117v2858,Laura Bautista,35
2117v2859,Laura Matias,78
2117v2860,Said  Hernandez,30
2117v2861,Juan  Mede ,27
2117v2862,Ali  Sanchez,82
2117v2863,Laura Vite,52
2117v2864,Said  Vite,89
2117v2865,Juan  Matias,4
2117v2866,Pedro  Hernandez,89
2117v2867,Flor  Ontiveros,49
2117v2868,Ali  Ontiveros,1
2117v2869,Uriel Sanchez,18
2117v2870,Flor  Vite,94
2117v2871,Said  Ontiveros,9
2117v2872,Said  Martinez,66
2117v2873,Juan  Vite,4
2117v2874,Juan  Bautista,49
2117v2875,Pedro  Mede ,58
2117v2876,Uriel Sanchez,84
2117v2877,Uriel Martinez,9
2117v2878,Ali  Vite,5
2117v2879,Juan  de la cuz ,18
2117v2880,Uriel Matias,88
2117v2881,Juan  Matias,47
2117v2882,Emilio  Matias,79
2117v2883,Ali  de la cuz ,99
2117v2884,Juan  Sanchez,66
2117v2885,Emilio  Martinez,61
2117v2886,Ali  Santos,34
2117v2887,Pedro  de la cuz ,30
2117v2888,Laura Ontiveros,23
2117v2889,Pedro  Mede ,21
2117v2890,Juan  Sanchez,30
2117v2891,Pedro  Martinez,76
2117v2892,Ali  Matias,86
2117v2893,Juan  Sanchez,84
2117v2894,Uriel Martinez,32
2117v2895,Juan  Santos,94
2117v2896,Said  Mede ,87
2117v2897,Uriel Santos,3
2117v2898,Pedro  de la cuz ,78
2117v2899,Juan  Santos,82
2117v2900,Emilio  Santos,13
2117v2901,Uriel Santos,6
2117v2902,Uriel de la cuz ,69
2117v2903,Juan  de la cuz ,74
2117v2904,Uriel Bautista,32
2117v2905,Abelardo  Sanchez,90
2117v2906,Flor  Martinez,74
2117v2907,Said  Sanchez,28
2117v2908,Pedro  Matias,29
2117v2909,Pedro  Sanchez,14
2117v2910,Flor  Sanchez,1
2117v2911,Juan  Ontiveros,67
2117v2912,Ali  Ontiveros,32
2117v2913,Flor  Santos,67
2117v2914,Abelardo  Vite,100
2117v2915,Flor  de la cuz ,63
2117v2916,Maria Vite,30
2117v2917,Maria Bautista,13
2117v2918,Pedro  Martinez,1
2117v2919,Emilio  Matias,3
2117v2920,Uriel Hernandez,74
2117v2921,Said  Vite,7
2117v2922,Emilio  Sanchez,84
2117v2923,Maria Hernandez,95
2117v2924,Flor  Martinez,26
2117v2925,Said  de la cuz ,96
2117v2926,Ali  Ontiveros,39
2117v2927,Pedro  Bautista,32
2117v2928,Flor  Matias,9
2117v2929,Pedro  Matias,81
2117v2930,Laura de la cuz ,36
2117v2931,Juan  Mede ,25
